major_city,state,income_disparity,isp,pct_slow_lower_income,pct_slow_upper_income,income_pct_pt_diff,uniform_speed,flag_income,race_disparity,pct_slow_least_white,pct_slow_most_white,race_pct_pt_diff,flag_race,redlining_disparity,pct_slow_d_rated,pct_slow_ab_rated,redlining_pct_pt_diff,flag_redlining
Wichita,KS,True,AT&T,0.2898,0.049,0.24080000000000001,False,,True,0.2121,0.0871,0.125,,True,0.252,0.0482,0.2038,
Albuquerque,NM,True,CenturyLink,0.256,0.1822,0.0738,False,,False,0.2063,0.2372,-0.030899999999999983,,,,,,not HOLC graded
Billings,MT,True,CenturyLink,0.7749,0.6258,0.1491,False,,,,,,no diversity,,,,,not HOLC graded
Boise,ID,False,CenturyLink,0.1239,0.1169,0.006999999999999992,False,,,,,,no diversity,,,,,not HOLC graded
Cheyenne,WY,True,CenturyLink,0.6857,0.3085,0.3772,False,,,,,,no diversity,,,,,not HOLC graded
Denver,CO,True,CenturyLink,0.2311,0.0814,0.1497,False,,False,0.1553,0.1172,0.038099999999999995,,True,0.2416,0.0584,0.1832,
Des Moines,IA,True,CenturyLink,0.3997,0.2771,0.12259999999999999,False,,True,0.4593,0.2692,0.1901,,True,0.5571,0.3152,0.24190000000000006,
Fargo,ND,False,CenturyLink,0.3357,0.2903,0.045399999999999996,False,,,,,,no diversity,,,,,not HOLC graded
Las Vegas,NV,True,CenturyLink,0.6784,0.4097,0.2687,False,,True,0.7127,0.398,0.3147,,,,,,not HOLC graded
Minneapolis,MN,True,CenturyLink,0.513,0.0769,0.43610000000000004,False,,True,0.2388,0.053,0.18580000000000002,,True,0.5335,0.0622,0.4713,
Omaha,NE,True,CenturyLink,0.5275,0.2261,0.3014,False,,True,0.5498,0.2206,0.32919999999999994,,,,,,small bin
Phoenix,AZ,True,CenturyLink,0.3175,0.1493,0.16820000000000002,False,,True,0.3468,0.1631,0.1837,,True,0.5878,0.1664,0.4214,
Portland,OR,True,CenturyLink,0.2724,0.1617,0.11069999999999997,False,,False,0.1644,0.1891,-0.0247,,True,0.3151,0.0881,0.22699999999999998,
Salt Lake City,UT,True,CenturyLink,0.4545,0.2721,0.1824,False,,False,0.2984,0.2671,0.031299999999999994,,True,0.3017,0.1545,0.14720000000000003,
Seattle,WA,True,CenturyLink,0.5056,0.1932,0.3124,False,,True,0.3288,0.1873,0.1415,,True,0.315,0.1619,0.1531,
Sioux Falls,SD,True,CenturyLink,0.6778,0.498,0.17979999999999996,False,,True,0.5917,0.5127,0.07899999999999996,,,,,,not HOLC graded
Baltimore,MD,False,Verizon,0.9974,0.9905,0.006899999999999906,True,,False,0.9985,0.979,0.019500000000000073,,False,0.9907,0.9974,-0.006699999999999928,
Boston,MA,False,Verizon,0.0577,0.0121,0.0456,True,,False,0.033,0.0412,-0.008199999999999999,,False,0.0616,0.0339,0.027700000000000002,
New York City,NY,False,Verizon,0.0006,0.0028,-0.0022,True,,False,0.0008,0.0026,-0.0018,,False,0.0001,0.0005,-0.0004,
Newark,NJ,True,Verizon,0.189,0.1338,0.0552,False,,,,,,no diversity,True,0.2071,0.0235,0.1836,
Philadelphia,PA,False,Verizon,0.0281,0.0192,0.008900000000000002,True,,False,0.0178,0.0212,-0.0034000000000000002,,False,0.0241,0.005,0.0191,
Providence,RI,False,Verizon,0.0064,0.0,0.0064,True,,False,0.0012,0.0,0.0012,,,,,,small bin
Virginia Beach,VA,True,Verizon,0.2884,0.1961,0.0923,False,,True,0.307,0.2023,0.10469999999999999,,,,,,not HOLC graded
Washington,DC,True,Verizon,0.3228,0.1252,0.19759999999999997,False,,False,0.2799,0.2839,-0.0040000000000000036,,,,,,not HOLC graded
Albuquerque,NM,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,,,,,not HOLC graded
Atlanta,GA,False,EarthLink,0.1177,0.0927,0.024999999999999994,False,,False,0.1095,0.0864,0.023099999999999996,,True,0.1258,0.042,0.08379999999999999,
Billings,MT,False,EarthLink,1.0,1.0,0.0,True,,,,,,no diversity,,,,,not HOLC graded
Boise,ID,False,EarthLink,1.0,1.0,0.0,True,,,,,,no diversity,,,,,not HOLC graded
Charleston,SC,True,EarthLink,0.5353,0.2078,0.3275,False,,True,0.4118,0.2459,0.1659,,,,,,not HOLC graded
Charlotte,NC,False,EarthLink,0.1078,0.0719,0.0359,False,,False,0.0956,0.0929,0.002700000000000008,,,,,,small bin
Cheyenne,WY,False,EarthLink,1.0,1.0,0.0,True,,,,,,no diversity,,,,,not HOLC graded
Chicago,IL,True,EarthLink,0.2874,0.1842,0.10319999999999999,False,,True,0.2721,0.1903,0.08180000000000001,,True,0.2637,0.1724,0.09129999999999999,
Columbus,OH,False,EarthLink,0.7873,0.7393,0.04800000000000004,False,,False,0.7517,0.7347,0.017000000000000015,,True,0.7531,0.6023,0.15080000000000005,
Denver,CO,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,False,1.0,1.0,0.0,
Des Moines,IA,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,False,1.0,1.0,0.0,
Detroit,MI,True,EarthLink,0.4771,0.2745,0.2026,False,,,,,,no diversity,True,0.6455,0.2184,0.4270999999999999,
Fargo,ND,False,EarthLink,1.0,1.0,0.0,True,,,,,,no diversity,,,,,not HOLC graded
Houston,TX,True,EarthLink,0.1556,0.0689,0.08669999999999999,False,,False,0.1178,0.0707,0.0471,,True,0.1667,0.0562,0.11049999999999999,
Huntsville,AL,True,EarthLink,0.1308,0.0776,0.0532,False,,False,0.0721,0.0667,0.005400000000000002,,,,,,not HOLC graded
Indianapolis,IN,False,EarthLink,0.2211,0.1971,0.023999999999999994,False,,False,0.2175,0.2084,0.009099999999999997,,True,0.2635,0.1226,0.14090000000000003,
Jacksonville,FL,False,EarthLink,0.1781,0.1864,-0.008300000000000002,False,,False,0.1726,0.1896,-0.016999999999999987,,,,,,not HOLC graded
Kansas City,MO,True,EarthLink,0.5684,0.3,0.2684,False,,True,0.5621,0.3033,0.25880000000000003,,True,0.7141,0.1261,0.588,
Las Vegas,NV,False,EarthLink,0.9939,0.9906,0.0032999999999999696,True,,False,0.9983,0.9823,0.016000000000000014,,,,,,not HOLC graded
