,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(redlining_grade, Treatment('rest'))[T.D]",1.4351785040634313,4.200394729399059,1.6115935878686707e-24,0.07857753341815821,14475,Milwaukee,WI,AT&T,redlining_grade_controls,-3.308589414608002,0.03527769445348508,0.13314754485441138,4.200394729399059,True,0.0978698504009263,3.774270028614575
"C(redlining_grade, Treatment('rest'))[T.D]",0.31327525900510167,1.3678980054553023,0.010325999661645425,0.06475058362506969,8428,Nashville,TN,AT&T,redlining_grade_controls,-3.2271679852507758,0.038156046639277186,0.05147105345904929,1.3678980054553023,True,0.013315006819772102,1.3489619075490347
"C(redlining_grade, Treatment('rest'))[T.D]",1.0922519571335068,2.9809795576764957,2.1257277155523285e-28,0.10885737005569829,8066,New Orleans,LA,AT&T,redlining_grade_controls,0.2787689695293582,0.5692443946161033,0.797545049553053,2.9809795576764957,True,0.22830065493694973,1.40105911818581
"C(redlining_grade, Treatment('rest'))[T.D]",1.977592568938994,7.225327552369826,2.9955496200117167e-21,0.15618421713535557,11896,Wichita,KS,AT&T,redlining_grade_controls,-4.085242442475012,0.016540859440133247,0.10835551438480295,7.225327552369826,True,0.0918146549446697,6.550778983218908
"C(redlining_grade, Treatment('rest'))[T.D]",1.1179717612733742,3.058644247072122,5.364269747417469e-21,0.11894958505829678,19543,Denver,CO,CenturyLink,redlining_grade_controls,-3.9231017908360006,0.019396001108187066,0.05704758749493357,3.058644247072122,True,0.037651586386746504,2.941203559266335
"C(redlining_grade, Treatment('rest'))[T.D]",0.7712911743333439,2.1625566896197204,5.900659111153215e-17,0.051405188887301057,5709,Des Moines,IA,CenturyLink,redlining_grade_controls,-0.9588004096129928,0.2771184371295349,0.4532595593705132,2.1625566896197204,True,0.17614112224097833,1.6356167567394435
"C(redlining_grade, Treatment('rest'))[T.D]",2.59484083164503,13.394455218324676,2.6228813288070956e-141,0.321479138227579,11583,Minneapolis,MN,CenturyLink,redlining_grade_controls,-3.701349543069102,0.024095266947812607,0.24852234545756446,13.394455218324676,True,0.22442707850975185,10.314156136797878
"C(redlining_grade, Treatment('rest'))[T.D]",2.620910175418508,13.74823119423622,1.1985064993345527e-37,0.08520075815673578,13537,Omaha,NE,CenturyLink,redlining_grade_controls,-0.4312745262186975,0.39382202757936324,0.8993149201469278,13.74823119423622,True,0.5054928925675646,2.283556675777099
"C(redlining_grade, Treatment('rest'))[T.D]",2.3513095527067267,10.499310125868265,1.373651920218556e-39,0.11382625431659976,32088,Phoenix,AZ,CenturyLink,redlining_grade_controls,-1.566770658802121,0.17267724727995748,0.6866575240719681,10.499310125868265,True,0.5139802767920106,3.9765373544477853
"C(redlining_grade, Treatment('rest'))[T.D]",0.8110047446112215,2.250167695137456,2.4863290375771745e-14,0.2388462774680734,19782,Portland,OR,CenturyLink,redlining_grade_controls,-3.327376059113216,0.03464387745020432,0.07471842963825603,2.250167695137456,True,0.04007455218805171,2.1567571281723072
