,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.3969317941811734,1.4872544871817472,6.884554572127727e-07,0.04563918164632619,8245,Nashville,TN,EarthLink,income_level_controls,-1.8354012478551747,0.1375960872411284,0.1917824743287914,1.4872544871817472,True,0.05418638708766299,1.3938076160022252
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",-0.1668863565210755,0.8462957818693586,0.040637572153526175,0.04563918164632619,8245,Nashville,TN,EarthLink,income_level_controls,-1.8354012478551747,0.1375960872411284,0.11896294738636166,-0.8462957818693586,False,-0.018633139854766737,0.8645808886838959
ppl_per_sq_mile_standard,0.2947519239604448,1.3427932025443283,4.4723270869135663e-26,0.04563918164632619,8245,Nashville,TN,EarthLink,income_level_controls,-1.8354012478551747,0.1375960872411284,0.176440902018172,1.3427932025443283,True,0.0388448147770436,1.282310460681709
n_providers,0.26487271051285,1.3032650732769726,5.773088947004271e-05,0.04563918164632619,8245,Nashville,TN,EarthLink,income_level_controls,-1.8354012478551747,0.1375960872411284,0.1721410576101129,1.3032650732769726,True,0.03454497036898449,1.251060702826866
internet_perc_broadband,0.5385877812785368,1.7135851955318873,6.098466273932193e-37,0.04563918164632619,8245,Nashville,TN,EarthLink,income_level_controls,-1.8354012478551747,0.1375960872411284,0.21470179376886298,1.7135851955318873,True,0.07710570652773457,1.560377174044286
"C(income_level, Treatment('Upper Income'))[T.Low]",0.9104564011934859,2.485456639938163,6.401137881427414e-20,0.03234618129288391,8245,Nashville,TN,EarthLink,income_level_minus_ppl_per_sq_mile_standard,-2.068568657007327,0.11218952554707914,0.23901046731483097,2.485456639938163,True,0.12682094176775183,2.1304169542506246
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.3993031205641233,1.4907854378489989,5.501700613077347e-07,0.03234618129288391,8245,Nashville,TN,EarthLink,income_level_minus_ppl_per_sq_mile_standard,-2.068568657007327,0.11218952554707914,0.15852212647078404,1.4907854378489989,True,0.04633260092370489,1.4129850866002807
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",-0.14400261042128182,0.86588548773035,0.07648683626620131,0.03234618129288391,8245,Nashville,TN,EarthLink,income_level_minus_ppl_per_sq_mile_standard,-2.068568657007327,0.11218952554707914,0.0986272516913026,-0.86588548773035,False,-0.013562273855776547,0.879112833487425
n_providers,0.420765069114986,1.5231264069380992,4.0266336539405594e-11,0.03234618129288391,8245,Nashville,TN,EarthLink,income_level_minus_ppl_per_sq_mile_standard,-2.068568657007327,0.11218952554707914,0.16140602195049406,1.5231264069380992,True,0.04921649640341491,1.4386906546169653
internet_perc_broadband,0.5334018630575339,1.7047216854268237,3.3450766946614436e-37,0.03234618129288391,8245,Nashville,TN,EarthLink,income_level_minus_ppl_per_sq_mile_standard,-2.068568657007327,0.11218952554707914,0.17723897948712658,1.7047216854268237,True,0.06504945394004744,1.5798175330793258
