major_city,state,slowest_income,isp,prop_slow_income_exposure,prop_slow_income_treatment,prop_slow_income_delta,flag_x,slowest_race,prop_slow_race_exposure,prop_slow_race_treatment,prop_slow_race_delta,flag_y,slowest_redlining,prop_slow_redlining_exposure,prop_slow_redlining_treatment,prop_slow_redlining_delta,flag
Phoenix,AZ,True,CenturyLink,0.37821411874707805,0.15192050449073188,0.22629361425634617,,True,0.32336420221648704,0.1687757280073182,0.15458847420916885,,True,0.5877862595419847,0.16644993498049415,0.42133632456149056,
Portland,OR,True,CenturyLink,0.5197841726618705,0.163013021262568,0.3567711513993025,,False,0.1650485436893204,0.20174091141833078,-0.03669236772901038,,True,0.31514657980456023,0.08811551277304702,0.2270310670315132,
Salt Lake City,UT,True,CenturyLink,0.5475409836065573,0.19396338446313707,0.35357759914342024,,True,0.345367027677497,0.2729577464788732,0.07240928119862378,,True,0.30167014613778703,0.15451895043731778,0.14715119570046925,
Seattle,WA,True,CenturyLink,0.6517094017094017,0.18336919766369505,0.46834020404570664,,True,0.2993730407523511,0.24451561248999198,0.05485742826235912,,True,0.31500219973603166,0.16189989785495404,0.15310230188107762,
Sioux Falls,SD,,CenturyLink,,,,small bin,,,,,small bin,,,,,not HOLC graded
Baltimore,MD,,Verizon,,,,monospeed,,,,,monospeed,,,,,monospeed
Boston,MA,,Verizon,,,,monospeed,,,,,monospeed,,,,,monospeed
New York City,NY,,Verizon,,,,monospeed,,,,,monospeed,,,,,monospeed
Newark,NJ,True,Verizon,0.24471830985915494,0.1262488646684832,0.11846944519067173,,,,,,no diversity,True,0.20710059171597633,0.02346041055718475,0.18364018115879158,
Philadelphia,PA,,Verizon,,,,monospeed,,,,,monospeed,,,,,monospeed
Providence,RI,,Verizon,,,,monospeed,,,,,monospeed,,,,,monospeed
Virginia Beach,VA,,Verizon,,,,small bin,True,0.33962264150943394,0.22427014664334724,0.1153524948660867,,,,,,not HOLC graded
Washington,DC,True,Verizon,0.3514309764309764,0.15168186104998427,0.19974911538099216,,False,0.19639934533551553,0.27649136577708006,-0.08009202044156452,,,,,,not HOLC graded
Albuquerque,NM,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Atlanta,GA,False,EarthLink,0.12292358803986711,0.10472686102462496,0.01819672701524215,,False,0.1266594124047878,0.10273381294964029,0.023925599455147523,,True,0.1258023106546855,0.042007001166861145,0.08379530948782435,
Billings,MT,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Boise,ID,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Charleston,SC,,EarthLink,,,,small bin,,,,,small bin,,,,,not HOLC graded
Charlotte,NC,True,EarthLink,0.1319796954314721,0.06245380635624538,0.06952588907522671,,False,0.08876745598057073,0.08198924731182795,0.006778208668742777,,,,,,small bin
Cheyenne,WY,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Chicago,IL,True,EarthLink,0.2988257107540173,0.18211991434689506,0.11670579640712225,,False,0.23522137026960177,0.1917518066284575,0.043469563641144265,,True,0.26368249365712215,0.1723955579058699,0.09128693575125224,
Columbus,OH,False,EarthLink,0.7754166666666666,0.7432578209277239,0.03215884573894279,,False,0.7551605504587156,0.7718780727630286,-0.016717522304313004,,True,0.7531194295900179,0.6022918773171554,0.1508275522728625,
Denver,CO,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Des Moines,IA,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Detroit,MI,True,EarthLink,0.6092396535129933,0.28563932132237185,0.3236003321906214,,,,,,no diversity,True,0.6455304670584596,0.21841820151679306,0.4271122655416666,
Fargo,ND,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Houston,TX,True,EarthLink,0.1983592147670671,0.07164232702896815,0.12671688773809897,,True,0.11966584582774852,0.0603418207185211,0.059324025109227414,,True,0.16666666666666666,0.05617382087970323,0.11049284578696342,
Huntsville,AL,True,EarthLink,0.17768595041322313,0.08549931600547196,0.09218663440775117,,False,0.0742218675179569,0.08766716196136701,-0.01344529444341011,,,,,,not HOLC graded
Indianapolis,IN,False,EarthLink,0.18840579710144928,0.1826688364524003,0.005736960649048967,,False,0.20795993674222457,0.22364425162689805,-0.015684314884673478,,True,0.26353092783505155,0.12255257432922408,0.1409783535058275,
Jacksonville,FL,True,EarthLink,0.22588623248145095,0.16847058823529412,0.05741564424615683,,False,0.1677975426370805,0.18583504098360656,-0.01803749834652607,,,,,,not HOLC graded
Kansas City,MO,True,EarthLink,0.7252124645892352,0.3094207379921666,0.4157917265970686,,True,0.5495895274018194,0.3386508043801541,0.21093872302166533,,True,0.7140726006961711,0.12608695652173912,0.587985644174432,
Las Vegas,NV,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Little Rock,AR,True,EarthLink,0.2634730538922156,0.17375132837407015,0.08972172551814545,,False,0.18296392872664058,0.16412213740458015,0.01884179132206043,,,,,,small bin
Los Angeles,CA,True,EarthLink,0.5019348964261325,0.2651955602536998,0.23673933617243276,,False,0.3466413727688195,0.32389300966509327,0.022748363103726243,,True,0.335094460454691,0.2549557148882328,0.08013874556645817,
Louisville,KY,True,EarthLink,0.35700325732899024,0.07728894173602854,0.27971431559296167,,True,0.27451858486341246,0.1015063731170336,0.17301221174637887,,True,0.3552176917760885,0.08361891706648389,0.2715987747096046,
Milwaukee,WI,True,EarthLink,0.346815834767642,0.0834870848708487,0.2633287498967933,,False,0.13155940594059407,0.11179459748595881,0.019764808454635255,,True,0.19924953095684803,0.043859649122807015,0.155389881834041,
Nashville,TN,True,EarthLink,0.31994645247657294,0.24195032198712052,0.07799613048945242,,False,0.18385650224215247,0.2530603160471845,-0.06920381380503202,,False,0.18726591760299627,0.27159590043923865,-0.08432998283624238,
New Orleans,LA,True,EarthLink,0.8120104438642297,0.47119224187107817,0.34081820199315155,,True,0.6984785615491009,0.48365773044436283,0.2148208311047381,,True,0.7956236323851203,0.5439093484419264,0.25171428394319395,
Oklahoma City,OK,True,EarthLink,0.502865329512894,0.20430107526881722,0.29856425424407673,,True,0.4098658786087747,0.21086148947461525,0.19900438913415947,,,,,,not HOLC graded
Omaha,NE,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Phoenix,AZ,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Portland,OR,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Salt Lake City,UT,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Seattle,WA,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Sioux Falls,SD,,EarthLink,,,,monospeed,,,,,monospeed,,,,,monospeed
Wichita,KS,True,EarthLink,0.44404332129963897,0.16423948220064724,0.27980383909899176,,True,0.24367816091954023,0.18219621130448174,0.061481949615058484,,True,0.16997792494481237,0.05,0.11997792494481237,
